FECHA (YYMMDD);HORA (HHMM);;
200126;1300;124,389;
200126;1400;138,973;
200126;1500;132,18;
200126;1600;125,723;
200126;1700;123,983;
200126;1800;130,964;
200126;1900;139,852;
200126;2000;161,804;
200126;2100;163,964;
200126;2200;171,83;
200126;2300;191,269;
200127;0000;181,866;
200127;0100;180,556;
200127;0200;173,966;
200127;0300;161,215;
200127;0400;109,198;
200127;0500;116,906;
200127;0600;130,798;
200127;0700;124,937;
200127;0800;129,505;
200127;0900;120,097;
200127;1000;166,699;
200127;1100;134,631;
200127;1200;135,895;
200127;1300;143,813;
200127;1400;129,24;
200127;1500;133,568;
200127;1600;122,568;
200127;1700;122,084;
200127;1800;119,783;
200127;1900;156,233;
200127;2000;201,365;
200127;2100;208,149;
200127;2200;204,608;
200127;2300;176,549;
200128;0000;177,596;
200128;0100;182,094;
200128;0200;157,503;
200128;0300;114,457;
200128;0400;143,045;
200128;0500;141,602;
200128;0600;139,549;
200128;0700;134,531;
200128;0800;142,637;
200128;0900;139,943;
200128;1000;148,625;
200128;1100;147,35;
200128;1200;131,785;
200128;1300;129,315;
200128;1400;126,236;
200128;1500;140,682;
200128;1600;118,449;
200128;1700;145,02;
200128;1800;164,418;
200128;1900;151,041;
200128;2000;200,871;
200128;2100;220,149;
200128;2200;225,941;
200128;2300;220,529;
200129;0000;190,982;
200129;0100;162,669;
200129;0200;149,335;
200129;0300;143,611;
200129;0400;133,98;
200129;0500;139,75;
200129;0600;130,179;
200129;0700;144,627;
200129;0800;132,355;
200129;0900;125,168;
200129;1000;;
200129;1100;158,815;
200129;1200;139,758;
200129;1300;143,546;
200129;1400;156,889;
200129;1500;152,965;
200129;1600;149,797;
200129;1700;132,047;
200129;1800;135,983;
200129;1900;137,591;
200129;2000;200,962;
200129;2100;207,993;
200129;2200;203,102;
200129;2300;199,558;
200130;0000;198,607;
200130;0100;173,945;
200130;0200;124,702;
200130;0300;130,23;
200130;0400;115,726;
200130;0500;110,357;
200130;0600;119,704;
200130;0700;125,939;
200130;0800;125,854;
200130;0900;134,541;
200130;1000;139,724;
200130;1100;132,408;
200130;1200;123,898;
200130;1300;148,117;
200130;1400;140,68;
200130;1500;128,133;
200130;1600;122,02;
200130;1700;116,221;
200130;1800;133,403;
200130;1900;200,928;
200130;2000;219,265;
200130;2100;218,747;
200130;2200;202,62;
200130;2300;195,778;
200131;0000;174,816;
200131;0100;46,2228;
200131;0200;316,672;
200131;0300;114,427;
200131;0400;73,7955;
200131;0500;51,2547;
200131;0600;116,652;
200131;0700;128,016;
200131;0800;121,513;
200131;0900;143,822;
200131;1000;161,597;
200131;1100;136,922;
200131;1200;146,93;
200131;1300;161,868;
200131;1400;140,494;
200131;1500;139,86;
200131;1600;130,649;
200131;1700;126,029;
200131;1800;132,101;
200131;1900;168,983;
200131;2000;216,98;
200131;2100;213,473;
200131;2200;214,491;
200131;2300;197,489;
200201;0000;343,549;
200201;0100;332,375;
200201;0200;335,465;
200201;0300;327,653;
200201;0400;327,988;
200201;0500;319,714;
200201;0600;321,597;
200201;0700;306,217;
200201;0800;144,186;
200201;0900;123,594;
200201;1000;108,824;
200201;1100;101,761;
200201;1200;87,4784;
200201;1300;133,645;
200201;1400;146,171;
200201;1500;224,046;
200201;1600;213,319;
200201;1700;217,348;
200201;1800;185,706;
200201;1900;166,694;
200201;2000;155,126;
200201;2100;173,292;
200201;2200;164,126;
200201;2300;177,078;
200202;0000;173,822;
200202;0100;151,285;
200202;0200;140,037;
200202;0300;118,07;
200202;0400;125,01;
200202;0500;123,312;
200202;0600;127,704;
200202;0700;133,211;
200202;0800;127,34;
200202;0900;133,782;
200202;1000;158,419;
200202;1100;122,062;
200202;1200;145,85;
200202;1300;135,602;
200202;1400;130,355;
200202;1500;99,0643;
200202;1600;205,196;
200202;1700;210,226;
200202;1800;203,378;
200202;1900;205,271;
200202;2000;204,286;
200202;2100;191,922;
200202;2200;200,215;
200202;2300;194,559;
200203;0000;165,553;
200203;0100;120,887;
200203;0200;156,407;
200203;0300;140,883;
200203;0400;165,288;
200203;0500;148,372;
200203;0600;125,772;
200203;0700;149,122;
200203;0800;143,742;
200203;0900;142,06;
200203;1000;131,372;
200203;1100;145,276;
200203;1200;161,159;
200203;1300;145,611;
200203;1400;149,197;
200203;1500;190,129;
200203;1600;239,316;
200203;1700;238,155;
200203;1800;235,944;
200203;1900;231,07;
200203;2000;232,922;
200203;2100;223,909;
200203;2200;209,273;
200203;2300;195,425;
200204;0000;195,335;
200204;0100;204,365;
200204;0200;191,888;
200204;0300;325,949;
200204;0400;330,284;
200204;0500;321,905;
200204;0600;224,867;
200204;0700;135,577;
200204;0800;160,84;
200204;0900;155,572;
200204;1000;146,639;
200204;1100;144,147;
200204;1200;146,997;
200204;1300;152,87;
200204;1400;138,418;
200204;1500;133,004;
200204;1600;116,49;
200204;1700;123,47;
200204;1800;138,071;
200204;1900;200,531;
200204;2000;202,394;
200204;2100;200,792;
200204;2200;206,636;
200204;2300;198,935;
200205;0000;187,724;
200205;0100;190,906;
200205;0200;179,744;
200205;0300;168,9;
200205;0400;166,226;
200205;0500;162,646;
200205;0600;163,3;
200205;0700;163,125;
200205;0800;143,295;
200205;0900;135,529;
200205;1000;137,149;
200205;1100;164,59;
200205;1200;121,803;
200205;1300;94,3113;
200205;1400;122,829;
200205;1500;97,1042;
200205;1600;40,7956;
200205;1700;206,334;
200205;1800;213,644;
200205;1900;225,338;
200205;2000;215,451;
200205;2100;202,566;
200205;2200;195,277;
200205;2300;196,932;
200206;0000;281,834;
200206;0100;150,615;
200206;0200;139,257;
200206;0300;131,094;
200206;0400;311,218;
200206;0500;313,399;
200206;0600;293,604;
200206;0700;62,7312;
200206;0800;141,514;
200206;0900;131,963;
200206;1000;144,302;
200206;1100;168,095;
200206;1200;148,373;
200206;1300;147,446;
200206;1400;127,167;
200206;1500;170,434;
200206;1600;174,04;
200206;1700;192,094;
200206;1800;211,279;
200206;1900;218,365;
200206;2000;218,577;
200206;2100;217,042;
200206;2200;215,534;
200206;2300;199,421;
200207;0000;139,536;
200207;0100;119,243;
200207;0200;21,7794;
200207;0300;12,2141;
200207;0400;293,914;
200207;0500;52,118;
200207;0600;135,83;
