FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200121;2000;1,09;;;
200121;2100;1,11;;;
200121;2200;1,04;;;
200121;2300;1,1;;;
200122;0000;1,01;;;
200122;0100;1,02;;;
200122;0200;1,01;;;
200122;0300;1,06;;;
200122;0400;1,06;;;
200122;0500;1,14;;;
200122;0600;1,02;;;
200122;0700;1,04;;;
200122;0800;1,06;;;
200122;0900;1,1;;;
200122;1000;1,09;;;
200122;1100;1,03;;;
200122;1200;1,01;;;
200122;1300;1;;;
200122;1400;1,03;;;
200122;1500;1,04;;;
200122;1600;1,06;;;
200122;1700;1,04;;;
200122;1800;1,01;;;
200122;1900;1;;;
200122;2000;1;;;
200122;2100;1,01;;;
200122;2200;1;;;
200122;2300;1;;;
200123;0000;1;;;
200123;0100;1;;;
200123;0200;1;;;
200123;0300;1;;;
200123;0400;1;;;
200123;0500;1;;;
200123;0600;1;;;
200123;0700;1;;;
200123;0800;1,01;;;
200123;0900;1;;;
200123;1000;1;;;
200123;1100;1;;;
200123;1200;1;;;
200123;1300;1,01;;;
200123;1400;1;;;
200123;1500;1,01;;;
200123;1600;1;;;
200123;1700;1;;;
200123;1800;1;;;
200123;1900;1;;;
200123;2000;1;;;
200123;2100;1;;;
200123;2200;1;;;
200123;2300;1;;;
200124;0000;1;;;
200124;0100;1;;;
200124;0200;1;;;
200124;0300;1;;;
200124;0400;1;;;
200124;0500;1;;;
200124;0600;1;;;
200124;0700;1,34;;;
200124;0800;1,56;;;
200124;0900;1,32;;;
200124;1000;1,2;;;
200124;1100;1,05;;;
200124;1200;1,08;;;
200124;1300;1,4;;;
200124;1400;1,54;;;
200124;1500;1,35;;;
200124;1600;1,21;;;
200124;1700;1,09;;;
200124;1800;1,01;;;
200124;1900;1,06;;;
200124;2000;1,28;;;
200124;2100;1,02;;;
200124;2200;1;;;
200124;2300;1,03;;;
200125;0000;1,02;;;
200125;0100;1,01;;;
200125;0200;1,26;;;
200125;0300;1,08;;;
200125;0400;1,07;;;
200125;0500;1,35;;;
200125;0600;2,58;;;
200125;0700;1,93;;;
200125;0800;1,69;;;
200125;0900;1,15;;;
200125;1000;1,11;;;
200125;1100;1,03;;;
200125;1200;1,03;;;
200125;1300;1,23;;;
200125;1400;1,43;;;
200125;1500;1,42;;;
200125;1600;1,42;;;
200125;1700;1,16;;;
200125;1800;1,1;;;
200125;1900;1,1;;;
200125;2000;1,09;;;
200125;2100;1,1;;;
200125;2200;1,08;;;
200125;2300;1,1;;;
200126;0000;1,06;;;
200126;0100;1,05;;;
200126;0200;1;;;
200126;0300;1,01;;;
200126;0400;1;;;
200126;0500;1;;;
200126;0600;1;;;
200126;0700;1;;;
200126;0800;1;;;
200126;0900;1;;;
200126;1000;1;;;
200126;1100;1,01;;;
200126;1200;1,03;;;
200126;1300;1,06;;;
200126;1400;1,08;;;
200126;1500;1,07;;;
200126;1600;1,02;;;
200126;1700;1;;;
200126;1800;1;;;
200126;1900;1,01;;;
200126;2000;1;;;
200126;2100;1;;;
200126;2200;1,02;;;
200126;2300;1;;;
200127;0000;1,01;;;
200127;0100;1,01;;;
200127;0200;1,01;;;
200127;0300;1;;;
200127;0400;1,02;;;
200127;0500;1,02;;;
200127;0600;1,01;;;
200127;0700;1,17;;;
200127;0800;1,2;;;
200127;0900;1,16;;;
200127;1000;1,17;;;
200127;1100;1,21;;;
200127;1200;1,35;;;
200127;1300;1,23;;;
200127;1400;1,45;;;
200127;1500;1,43;;;
200127;1600;1,24;;;
200127;1700;1,01;;;
200127;1800;1,02;;;
200127;1900;1,81;;;
200127;2000;1,06;;;
200127;2100;1;;;
200127;2200;1;;;
200127;2300;1,01;;;
200128;0000;1,1;;;
200128;0100;1,09;;;
200128;0200;1,05;;;
200128;0300;1,13;;;
200128;0400;1,31;;;
200128;0500;1,6;;;
200128;0600;1,69;;;
200128;0700;1,47;;;
200128;0800;1,42;;;
200128;0900;1,34;;;
200128;1000;1,23;;;
200128;1100;1,28;;;
200128;1200;1,35;;;
200128;1300;1,48;;;
200128;1400;1,41;;;
200128;1500;1,24;;;
200128;1600;1,22;;;
200128;1700;1,01;;;
200128;1800;1;;;
200128;1900;1;;;
200128;2000;1,01;;;
200128;2100;1,01;;;
200128;2200;1;;;
200128;2300;1,01;;;
200129;0000;1,02;;;
200129;0100;1,02;;;
200129;0200;1;;;
200129;0300;1,52;;;
200129;0400;2,45;;;
200129;0500;1,5;;;
200129;0600;2,26;;;
200129;0700;2,12;;;
200129;0800;1,15;;;
200129;0900;1,15;;;
200129;1000;;;;
200129;1100;1,25;;;
200129;1200;1,22;;;
200129;1300;1,18;;;
200129;1400;1,22;;;
200129;1500;1,1;;;
200129;1600;1,23;;;
200129;1700;1,15;;;
200129;1800;1,01;;;
200129;1900;1;;;
200129;2000;1,11;;;
200129;2100;1,01;;;
200129;2200;1;;;
200129;2300;1,01;;;
200130;0000;1,01;;;
200130;0100;1;;;
200130;0200;2,44;;;
200130;0300;3,81;;;
200130;0400;1,69;;;
200130;0500;2,13;;;
200130;0600;2,18;;;
200130;0700;1,95;;;
200130;0800;1,47;;;
200130;0900;1,5;;;
200130;1000;1,35;;;
