FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200120;1800;0,29;;;
200120;1900;0,33;;;
200120;2000;0,38;;;
200120;2100;0,29;;;
200120;2200;0,31;;;
200120;2300;0,27;;;
200121;0000;0,26;;;
200121;0100;0,23;;;
200121;0200;0,27;;;
200121;0300;0,24;;;
200121;0400;0,97;;;
200121;0500;3,77;;;
200121;0600;1,27;;;
200121;0700;0,33;;;
200121;0800;0,24;;;
200121;0900;;;;
200121;1000;0,25;;;
200121;1100;0,31;;;
200121;1200;0,35;;;
200121;1300;0,46;;;
200121;1400;0,41;;;
200121;1500;0,33;;;
200121;1600;0,34;;;
200121;1700;0,33;;;
200121;1800;0,32;;;
200121;1900;0,34;;;
200121;2000;0,31;;;
200121;2100;0,3;;;
200121;2200;0,29;;;
200121;2300;0,28;;;
200122;0000;0,28;;;
200122;0100;0,26;;;
200122;0200;0,28;;;
200122;0300;0,86;;;
200122;0400;0,23;;;
200122;0500;0,25;;;
200122;0600;0,55;;;
200122;0700;0,32;;;
200122;0800;0,26;;;
200122;0900;0,43;;;
200122;1000;0,21;;;
200122;1100;0,2;;;
200122;1200;0,22;;;
200122;1300;0,22;;;
200122;1400;0,23;;;
200122;1500;0,29;;;
200122;1600;0,25;;;
200122;1700;0,25;;;
200122;1800;0,25;;;
200122;1900;0,23;;;
200122;2000;0,26;;;
200122;2100;0,26;;;
200122;2200;0,26;;;
200122;2300;0,24;;;
200123;0000;0,21;;;
200123;0100;0,2;;;
200123;0200;0,19;;;
200123;0300;0,19;;;
200123;0400;0,24;;;
200123;0500;0,28;;;
200123;0600;0,21;;;
200123;0700;0,23;;;
200123;0800;0,2;;;
200123;0900;0,21;;;
200123;1000;0,22;;;
200123;1100;0,21;;;
200123;1200;0,2;;;
200123;1300;0,21;;;
200123;1400;0,23;;;
200123;1500;0,25;;;
200123;1600;0,26;;;
200123;1700;0,26;;;
200123;1800;0,27;;;
200123;1900;0,31;;;
200123;2000;0,26;;;
200123;2100;0,26;;;
200123;2200;0,26;;;
200123;2300;0,27;;;
200124;0000;0,24;;;
200124;0100;0,23;;;
200124;0200;0,2;;;
200124;0300;0,18;;;
200124;0400;0,23;;;
200124;0500;0,23;;;
200124;0600;0,24;;;
200124;0700;0,24;;;
200124;0800;0,21;;;
200124;0900;0,21;;;
200124;1000;0,24;;;
200124;1100;0,2;;;
200124;1200;0,2;;;
200124;1300;0,21;;;
200124;1400;0,24;;;
200124;1500;0,29;;;
200124;1600;0,31;;;
200124;1700;0,29;;;
200124;1800;0,3;;;
200124;1900;0,37;;;
200124;2000;0,52;;;
200124;2100;0,41;;;
200124;2200;0,42;;;
200124;2300;1;;;
200125;0000;0,45;;;
200125;0100;0,25;;;
200125;0200;0,28;;;
200125;0300;0,31;;;
200125;0400;0,28;;;
200125;0500;0,22;;;
200125;0600;0,21;;;
200125;0700;0,19;;;
200125;0800;0,17;;;
200125;0900;0,2;;;
200125;1000;0,19;;;
200125;1100;0,19;;;
200125;1200;0,2;;;
200125;1300;0,21;;;
200125;1400;0,21;;;
200125;1500;0,23;;;
200125;1600;0,24;;;
200125;1700;0,25;;;
200125;1800;0,26;;;
200125;1900;0,31;;;
200125;2000;0,67;;;
200125;2100;1,19;;;
200125;2200;0,52;;;
200125;2300;0,41;;;
200126;0000;0,29;;;
200126;0100;0,26;;;
200126;0200;0,23;;;
