FECHA (YYMMDD);HORA (HHMM);;
200129;1500;2,48715;
200129;1600;2,79993;
200129;1700;3,11299;
200129;1800;2,95252;
200129;1900;2,15764;
200129;2000;1,41366;
200129;2100;1,72084;
200129;2200;1,35825;
200129;2300;1,03391;
200130;0000;1,12392;
200130;0100;1,31927;
200130;0200;0,78732;
200130;0300;1,22115;
200130;0400;1,35171;
200130;0500;1,6518;
200130;0600;1,37279;
200130;0700;1,7456;
200130;0800;2,10065;
200130;0900;1,49565;
200130;1000;1,07988;
200130;1100;1,48739;
200130;1200;1,74075;
200130;1300;1,50518;
200130;1400;2,12269;
200130;1500;2,2613;
200130;1600;2,22689;
200130;1700;2,79337;
200130;1800;2,19333;
200130;1900;1,53472;
200130;2000;2,22481;
200130;2100;2,21589;
200130;2200;1,71975;
200130;2300;1,42833;
200131;0000;0,669142;
200131;0100;0,191265;
200131;0200;0,255359;
200131;0300;0,478201;
200131;0400;0,225097;
200131;0500;0,374996;
200131;0600;0,832105;
200131;0700;1,78773;
200131;0800;2,0839;
200131;0900;1,31638;
200131;1000;1,52825;
200131;1100;1,60135;
200131;1200;1,42382;
200131;1300;1,27148;
200131;1400;1,49426;
200131;1500;1,74312;
200131;1600;2,2112;
200131;1700;2,69751;
200131;1800;2,34591;
200131;1900;1,03826;
200131;2000;1,78371;
200131;2100;1,66173;
200131;2200;1,64545;
200131;2300;1,02208;
200201;0000;0,0741107;
200201;0100;0,747965;
200201;0200;0,290239;
200201;0300;0,555085;
200201;0400;0,776093;
200201;0500;0,347309;
200201;0600;0,603616;
200201;0700;0,198805;
200201;0800;0,704654;
200201;0900;1,41124;
200201;1000;0,789665;
200201;1100;0,819213;
200201;1200;1,14463;
200201;1300;1,54495;
200201;1400;1,70322;
200201;1500;1,90829;
200201;1600;4,19696;
200201;1700;3,89854;
200201;1800;3,79118;
200201;1900;3,10767;
200201;2000;3,28129;
200201;2100;2,29503;
200201;2200;2,50961;
200201;2300;2,30971;
200202;0000;1,77751;
200202;0100;0,915358;
200202;0200;0,788181;
200202;0300;0,846817;
200202;0400;1,37194;
200202;0500;1,76393;
200202;0600;1,49671;
200202;0700;2,17247;
200202;0800;2,01341;
200202;0900;1,47688;
200202;1000;1,54287;
200202;1100;1,35519;
200202;1200;1,16782;
200202;1300;1,4084;
200202;1400;1,13587;
200202;1500;1,0316;
200202;1600;3,00551;
200202;1700;3,20501;
200202;1800;3,24895;
200202;1900;2,93905;
200202;2000;2,96812;
200202;2100;2,99172;
200202;2200;1,82101;
200202;2300;1,19615;
200203;0000;0,561392;
200203;0100;1,20389;
200203;0200;1,12238;
200203;0300;1,18942;
200203;0400;0,702222;
200203;0500;0,556354;
200203;0600;0,655273;
200203;0700;1,11536;
200203;0800;1,7735;
200203;0900;1,91783;
200203;1000;1,63275;
200203;1100;1,32757;
200203;1200;1,47589;
200203;1300;1,32507;
200203;1400;1,14124;
200203;1500;2,18883;
200203;1600;2,223;
200203;1700;3,06987;
200203;1800;2,92823;
200203;1900;3,15457;
200203;2000;2,73469;
200203;2100;1,58365;
200203;2200;1,39498;
200203;2300;1,14805;
200204;0000;0,498989;
200204;0100;0,54387;
200204;0200;0,857389;
200204;0300;0,46547;
200204;0400;0,249222;
200204;0500;0,713876;
200204;0600;0,219678;
200204;0700;0,561323;
200204;0800;1,72219;
200204;0900;2,57749;
200204;1000;2,93766;
200204;1100;3,04839;
200204;1200;2,89214;
200204;1300;2,57521;
200204;1400;3,10623;
200204;1500;3,42644;
200204;1600;3,70522;
200204;1700;3,70986;
200204;1800;2,98938;
200204;1900;3,23787;
200204;2000;1,96705;
200204;2100;1,83714;
200204;2200;1,76735;
200204;2300;1,55447;
200205;0000;1,21173;
200205;0100;1,26326;
200205;0200;1,37697;
200205;0300;1,34946;
200205;0400;1,42539;
200205;0500;1,42684;
200205;0600;1,34495;
200205;0700;2,34725;
200205;0800;2,32251;
200205;0900;1,78987;
200205;1000;1,8354;
200205;1100;1,25118;
200205;1200;1,50685;
200205;1300;1,2998;
200205;1400;1,27747;
200205;1500;2,20883;
200205;1600;0,978576;
200205;1700;3,02555;
200205;1800;3,50886;
200205;1900;2,85791;
200205;2000;2,52569;
200205;2100;2,03982;
200205;2200;1,59785;
200205;2300;1,05872;
200206;0000;0,286058;
200206;0100;0,450284;
200206;0200;0,746462;
200206;0300;0,495655;
200206;0400;0,443548;
200206;0500;0,51113;
200206;0600;0,342392;
200206;0700;0,260122;
200206;0800;1,17091;
200206;0900;1,64006;
200206;1000;0,973666;
200206;1100;1,22065;
200206;1200;1,05652;
200206;1300;1,43706;
200206;1400;1,96613;
200206;1500;1,72312;
200206;1600;2,41386;
200206;1700;2,51887;
200206;1800;2,59904;
200206;1900;2,2861;
200206;2000;1,99502;
200206;2100;1,82789;
200206;2200;1,53659;
200206;2300;1,05659;
200207;0000;0,713779;
200207;0100;0,495467;
200207;0200;0,157145;
200207;0300;0,181828;
200207;0400;0,0311872;
200207;0500;0,540434;
200207;0600;0,834008;
200207;0700;2,56903;
200207;0800;2,21716;
200207;0900;1,73993;
200207;1000;1,29946;
200207;1100;2,01169;
200207;1200;2,36498;
200207;1300;1,89723;
200207;1400;1,77013;
200207;1500;2,53387;
200207;1600;2,82311;
200207;1700;2,9896;
200207;1800;2,75505;
200207;1900;1,42792;
200207;2000;0,268771;
200207;2100;0,541136;
200207;2200;0,422218;
200207;2300;0,156104;
200208;0000;0,475498;
200208;0100;0,15631;
200208;0200;0,298958;
200208;0300;0,234229;
200208;0400;0,534455;
200208;0500;0,536512;
200208;0600;0,505767;
200208;0700;0,981632;
200208;0800;2,11831;
200208;0900;0,722291;
200208;1000;0,873445;
200208;1100;1,54601;
200208;1200;1,2969;
200208;1300;1,52423;
200208;1400;2,02399;
200208;1500;1,68805;
200208;1600;2,10546;
200208;1700;1,51736;
200208;1800;1,40029;
200208;1900;1,60529;
200208;2000;1,92315;
200208;2100;1,6865;
200208;2200;0,426679;
200208;2300;0,846708;
200209;0000;0,169664;
200209;0100;0,681582;
200209;0200;0,181092;
200209;0300;0,0458545;
200209;0400;0,0459486;
200209;0500;0,160903;
200209;0600;0,244105;
200209;0700;0,092591;
200209;0800;0,508894;
200209;0900;0,927696;
200209;1000;1,39824;
200209;1100;1,24663;
200209;1200;0,989147;
200209;1300;1,45198;
200209;1400;1,33738;
200209;1500;2,25185;
200209;1600;2,26749;
200209;1700;2,80853;
200209;1800;2,63299;
200209;1900;2,14476;
200209;2000;1,51646;
200209;2100;1,07599;
200209;2200;0,183953;
200209;2300;0,435304;
200210;0000;0,567311;
200210;0100;0,382894;
200210;0200;0,6643;
200210;0300;0,512252;
200210;0400;0,413652;
200210;0500;0,535687;
200210;0600;0,361637;
200210;0700;0,418836;
200210;0800;0,293146;
200210;0900;1,01087;
200210;1000;1,03059;
200210;1100;1,13631;
200210;1200;0,839387;
200210;1300;0,733612;
200210;1400;0,967368;
200210;1500;1,13067;
200210;1600;2,43975;
200210;1700;2,67576;
200210;1800;2,28817;
200210;1900;1,84865;
200210;2000;1,894;
200210;2100;1,25785;
200210;2200;0,583217;
200210;2300;0,788319;
200211;0000;0,902124;
200211;0100;0,828736;
200211;0200;0,536409;
200211;0300;0,262782;
200211;0400;0,275225;
200211;0500;0,257071;
200211;0600;0,305591;
200211;0700;0,332539;
200211;0800;0,515733;
200211;0900;0,518186;
200211;1000;0,364969;
200211;1100;0,344768;
200211;1200;0,657183;
200211;1300;0,86741;
200211;1400;1,15651;
200211;1500;0,680723;
200211;1600;0,556717;
200211;1700;3,33876;
200211;1800;2,80778;
200211;1900;2,31822;
200211;2000;2,30037;
200211;2100;1,8974;
200211;2200;1,64202;
200211;2300;1,34103;
200212;0000;0,983027;
200212;0100;0,672078;
200212;0200;0,381442;
200212;0300;0,39087;
200212;0400;0,0583644;
200212;0500;0,159998;
200212;0600;0,107286;
200212;0700;0,337891;
200212;0800;1,01907;
200212;0900;1,60024;
200212;1000;1,87425;
200212;1100;1,68646;
200212;1200;1,39653;
200212;1300;1,89908;
200212;1400;2,88742;
200212;1500;3,24515;
200212;1600;3,97955;
200212;1700;3,81486;
200212;1800;3,49103;
200212;1900;3,47016;
200212;2000;2,51535;
200212;2100;2,06594;
200212;2200;1,81257;
200212;2300;1,50562;
200213;0000;2,08609;
200213;0100;2,95063;
200213;0200;2,78048;
200213;0300;2,39548;
200213;0400;1,97699;
200213;0500;1,89265;
200213;0600;1,34177;
200213;0700;1,392;
200213;0800;2,13519;
200213;0900;2,70951;
200213;1000;2,91643;
200213;1100;2,6429;
200213;1200;2,97711;
200213;1300;3,20662;
200213;1400;3,68197;
200213;1500;3,4723;
200213;1600;3,72499;
200213;1700;4,29041;
200213;1800;3,85521;
200213;1900;2,27225;
200213;2000;1,42959;
200213;2100;0,670456;
200213;2200;1,00623;
200213;2300;0,933847;
200214;0000;1,31701;
200214;0100;2,10117;
200214;0200;1,61596;
200214;0300;2,05744;
200214;0400;1,2387;
200214;0500;1,43635;
200214;0600;1,46247;
200214;0700;1,94618;
200214;0800;2,52482;
200214;0900;2,17981;
200214;1000;2,00552;
200214;1100;2,49502;
200214;1200;2,8235;
200214;1300;3,3429;
200214;1400;3,36752;
200214;1500;3,55526;
200214;1600;3,59431;
200214;1700;3,51452;
200214;1800;3,3903;
200214;1900;1,77295;
200214;2000;0,835955;
200214;2100;0,787452;
200214;2200;0,931571;
200214;2300;0,91087;
200215;0000;0,597934;
200215;0100;0,309443;
200215;0200;0,0456349;
200215;0300;0,262187;
200215;0400;0,336226;
200215;0500;0,313945;
200215;0600;0,161627;
200215;0700;0,895122;
200215;0800;1,58796;
200215;0900;1,43765;
200215;1000;1,87067;
200215;1100;1,83517;
200215;1200;1,51344;
200215;1300;1,50556;
200215;1400;1,60918;
200215;1500;1,8356;
200215;1600;2,25617;
200215;1700;2,13448;
200215;1800;1,85191;
200215;1900;1,63879;
200215;2000;2,25893;
200215;2100;1,90894;
200215;2200;1,20453;
200215;2300;0,756393;
200216;0000;0,525482;
200216;0100;0,814523;
200216;0200;0,163359;
200216;0300;0,120276;
200216;0400;0,438237;
200216;0500;0,418754;
200216;0600;0,320631;
200216;0700;0,787532;
200216;0800;1,32695;
200216;0900;0,88195;
200216;1000;0,41151;
200216;1100;0,762047;
200216;1200;1,44609;
200216;1300;2,0873;
200216;1400;2,18067;
200216;1500;1,94147;
200216;1600;2,7446;
200216;1700;3,0566;
200216;1800;2,56467;
200216;1900;2,1125;
200216;2000;1,79692;
200216;2100;2,58862;
200216;2200;1,2583;
200216;2300;1,3587;
200217;0000;1,49962;
200217;0100;1,05094;
200217;0200;0,857986;
200217;0300;0,21042;
200217;0400;0,422802;
200217;0500;0,431449;
200217;0600;0,178988;
200217;0700;0,250148;
200217;0800;0,479751;
200217;0900;1,77873;
200217;1000;2,4234;
200217;1100;2,0063;
200217;1200;2,46951;
200217;1300;2,92172;
200217;1400;2,6368;
200217;1500;2,86942;
200217;1600;3,47188;
200217;1700;3,54651;
200217;1800;3,6475;
200217;1900;3,00668;
200217;2000;2,41803;
200217;2100;2,62567;
200217;2200;2,69414;
200217;2300;2,42375;
200218;0000;2,25497;
200218;0100;2,80825;
200218;0200;2,12771;
200218;0300;2,11235;
200218;0400;1,44421;
200218;0500;1,22957;
200218;0600;1,01556;
200218;0700;1,75144;
