FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200118;0800;6,47484;;;
200118;0900;1,30378;;;
200118;1000;1,02036;;;
200118;1100;1;;;
200118;1200;1,34782;;;
200118;1300;1;;;
200118;1400;1;;;
200118;1500;1;;;
200118;1600;1;;;
200118;1700;1,05829;;;
200118;1800;1;;;
200118;1900;1,07322;;;
200118;2000;1;;;
200118;2100;1,64269;;;
200118;2200;1,17052;;;
200118;2300;1,09196;;;
200119;0000;3,09821;;;
200119;0100;2,74496;;;
200119;0200;1;;;
200119;0300;1;;;
200119;0400;1;;;
200119;0500;1;;;
200119;0600;1;;;
200119;0700;1,27205;;;
200119;0800;1;;;
200119;0900;1;;;
200119;1000;1;;;
200119;1100;1,00468;;;
200119;1200;1,08981;;;
200119;1300;1;;;
200119;1400;1;;;
200119;1500;1,04612;;;
200119;1600;1;;;
200119;1700;1,01702;;;
200119;1800;1;;;
200119;1900;1;;;
200119;2000;1,0131;;;
200119;2100;1,73746;;;
200119;2200;1,29172;;;
200119;2300;2,07454;;;
200120;0000;3,25887;;;
200120;0100;1,51981;;;
200120;0200;1;;;
200120;0300;1;;;
200120;0400;1;;;
200120;0500;1,00585;;;
200120;0600;5,45663;;;
200120;0700;6,74303;;;
200120;0800;1,98142;;;
200120;0900;1,14926;;;
200120;1000;1;;;
200120;1100;1,01685;;;
200120;1200;1,0212;;;
200120;1300;1;;;
200120;1400;1;;;
200120;1500;1;;;
200120;1600;2,61988;;;
200120;1700;1;;;
200120;1800;1,05128;;;
200120;1900;1,29013;;;
200120;2000;3,12679;;;
200120;2100;2,02575;;;
200120;2200;2,69074;;;
200120;2300;1,79798;;;
200121;0000;1,25462;;;
200121;0100;1,75935;;;
200121;0200;1;;;
200121;0300;1;;;
200121;0400;1,00201;;;
200121;0500;5,75172;;;
200121;0600;19,6234;;;
200121;0700;5,01337;;;
200121;0800;1,66103;;;
200121;0900;2,80022;;;
200121;1000;;;;
200121;1100;;;;
200121;1200;6,07693;;;
200121;1300;1,88179;;;
200121;1400;1;;;
200121;1500;1;;;
200121;1600;1,02645;;;
200121;1700;1;;;
200121;1800;1,01653;;;
200121;1900;1,03312;;;
200121;2000;1;;;
200121;2100;2,99585;;;
200121;2200;2,76064;;;
200121;2300;1,3369;;;
200122;0000;1;;;
200122;0100;1;;;
200122;0200;1;;;
200122;0300;1;;;
200122;0400;1,00293;;;
200122;0500;3,2641;;;
200122;0600;9,54105;;;
200122;0700;9,7769;;;
200122;0800;3,05801;;;
200122;0900;1,27243;;;
200122;1000;1;;;
200122;1100;1,13743;;;
200122;1200;1,01378;;;
200122;1300;1,81313;;;
200122;1400;1;;;
200122;1500;1,08174;;;
200122;1600;1,04737;;;
200122;1700;1;;;
200122;1800;1,02619;;;
200122;1900;1;;;
200122;2000;1,11382;;;
200122;2100;1,38653;;;
200122;2200;1,0317;;;
200122;2300;2,05164;;;
200123;0000;1,00768;;;
200123;0100;1;;;
200123;0200;1;;;
200123;0300;1;;;
200123;0400;1;;;
200123;0500;2,69044;;;
200123;0600;1,34958;;;
200123;0700;1,45159;;;
200123;0800;1,48037;;;
200123;0900;1,50857;;;
200123;1000;1,34731;;;
200123;1100;1;;;
200123;1200;1;;;
200123;1300;1;;;
200123;1400;1,04906;;;
200123;1500;1,17531;;;
200123;1600;1,76148;;;
200123;1700;1,43394;;;
200123;1800;2,06262;;;
200123;1900;1,98551;;;
200123;2000;2,22265;;;
200123;2100;3,13754;;;
200123;2200;1,30235;;;
200123;2300;1,12843;;;
200124;0000;1;;;
200124;0100;1,38267;;;
200124;0200;1,79962;;;
200124;0300;1;;;
200124;0400;1;;;
200124;0500;2,23932;;;
200124;0600;3,30737;;;
200124;0700;4,71091;;;
200124;0800;2,5103;;;
200124;0900;1,49471;;;
200124;1000;1,06388;;;
200124;1100;1;;;
200124;1200;1;;;
200124;1300;1,02085;;;
200124;1400;7,87493;;;
200124;1500;1,05637;;;
200124;1600;1,05678;;;
200124;1700;1;;;
200124;1800;1;;;
200124;1900;1,36577;;;
200124;2000;7,64872;;;
200124;2100;1,99227;;;
200124;2200;2,73957;;;
200124;2300;6,39362;;;
200125;0000;3,19775;;;
200125;0100;1,2046;;;
200125;0200;1;;;
200125;0300;1;;;
200125;0400;1;;;
200125;0500;1;;;
200125;0600;1,14261;;;
200125;0700;1,60786;;;
200125;0800;1,11464;;;
200125;0900;1,05331;;;
200125;1000;1;;;
200125;1100;1;;;
200125;1200;1;;;
200125;1300;1;;;
200125;1400;1;;;
200125;1500;1;;;
200125;1600;1;;;
200125;1700;1;;;
200125;1800;1;;;
200125;1900;1;;;
200125;2000;10,0157;;;
200125;2100;19,0622;;;
200125;2200;1,74079;;;
200125;2300;1,46582;;;
200126;0000;15,0101;;;
200126;0100;2,83044;;;
200126;0200;1,01252;;;
200126;0300;1;;;
200126;0400;1;;;
200126;0500;1;;;
200126;0600;1;;;
200126;0700;1,67491;;;
200126;0800;1,44513;;;
200126;0900;1;;;
200126;1000;1;;;
200126;1100;1,02669;;;
200126;1200;1,01026;;;
200126;1300;1;;;
200126;1400;1;;;
200126;1500;1;;;
200126;1600;1;;;
200126;1700;1;;;
200126;1800;1;;;
200126;1900;1;;;
200126;2000;1,00218;;;
200126;2100;1,00726;;;
200126;2200;1;;;
200126;2300;1,35892;;;
200127;0000;1;;;
200127;0100;1;;;
200127;0200;1;;;
200127;0300;1;;;
200127;0400;1;;;
200127;0500;1;;;
200127;0600;1,07688;;;
200127;0700;1,76734;;;
200127;0800;1,25719;;;
200127;0900;1,00735;;;
200127;1000;1,08298;;;
200127;1100;1;;;
200127;1200;1;;;
200127;1300;1;;;
200127;1400;1;;;
200127;1500;1;;;
200127;1600;6,80194;;;
200127;1700;1,10232;;;
200127;1800;1;;;
200127;1900;1,41662;;;
200127;2000;2,15616;;;
200127;2100;1,3732;;;
200127;2200;2,82281;;;
200127;2300;2,18793;;;
200128;0000;1,30482;;;
200128;0100;2,2746;;;
200128;0200;1;;;
200128;0300;1;;;
200128;0400;1;;;
200128;0500;1;;;
200128;0600;3,6329;;;
200128;0700;4,63438;;;
200128;0800;1,74956;;;
200128;0900;1;;;
200128;1000;1;;;
200128;1100;1,5195;;;
200128;1200;1,36359;;;
200128;1300;1;;;
200128;1400;1;;;
200128;1500;1;;;
200128;1600;8,5538;;;
200128;1700;4,05286;;;
200128;1800;1,53717;;;
200128;1900;1,04962;;;
200128;2000;3,45662;;;
200128;2100;5,05972;;;
200128;2200;1,64078;;;
200128;2300;1,20527;;;
200129;0000;1,04637;;;
200129;0100;1;;;
200129;0200;1;;;
200129;0300;1,12981;;;
200129;0400;1,00935;;;
200129;0500;1;;;
200129;0600;1,7056;;;
200129;0700;3,59072;;;
200129;0800;;;;
200129;0900;;;;
200129;1000;;;;
200129;1100;1,86364;;;
200129;1200;1,12415;;;
200129;1300;1,6638;;;
200129;1400;2,08283;;;
200129;1500;3,41002;;;
200129;1600;1,09456;;;
200129;1700;1;;;
200129;1800;1;;;
200129;1900;1;;;
200129;2000;3,16212;;;
200129;2100;1,14609;;;
200129;2200;1,01753;;;
200129;2300;1,33628;;;
200130;0000;1,48923;;;
200130;0100;1,00943;;;
200130;0200;1;;;
200130;0300;1;;;
200130;0400;1;;;
200130;0500;1;;;
200130;0600;1,78672;;;
200130;0700;3,9166;;;
200130;0800;2,51822;;;
200130;0900;1,43554;;;
200130;1000;1,18137;;;
200130;1100;1,09849;;;
200130;1200;1;;;
200130;1300;1,05205;;;
200130;1400;1;;;
200130;1500;1;;;
200130;1600;1,69092;;;
200130;1700;1;;;
200130;1800;1,10857;;;
200130;1900;2,87816;;;
200130;2000;2,57365;;;
200130;2100;1,2247;;;
200130;2200;1,33385;;;
200130;2300;1,52933;;;
200131;0000;1,58033;;;
200131;0100;1;;;
200131;0200;6,12155;;;
200131;0300;4,46336;;;
200131;0400;1;;;
200131;0500;2,24643;;;
200131;0600;2,74957;;;
200131;0700;3,8895;;;
200131;0800;1,8668;;;
200131;0900;1,11642;;;
200131;1000;1,08565;;;
200131;1100;1;;;
200131;1200;1;;;
200131;1300;1,05129;;;
200131;1400;1,0627;;;
200131;1500;1,01977;;;
200131;1600;1,1515;;;
200131;1700;1;;;
200131;1800;1;;;
200131;1900;4,20962;;;
200131;2000;2,49989;;;
200131;2100;2,35748;;;
200131;2200;1,03127;;;
200131;2300;2,13551;;;
200201;0000;1,94765;;;
200201;0100;7,25983;;;
200201;0200;9,78314;;;
200201;0300;7,97444;;;
200201;0400;5,40927;;;
200201;0500;7,25291;;;
200201;0600;12,5633;;;
200201;0700;15,4067;;;
200201;0800;8,7915;;;
200201;0900;1,12559;;;
200201;1000;1;;;
200201;1100;1;;;
200201;1200;1;;;
200201;1300;9,71205;;;
200201;1400;1,22837;;;
200201;1500;1;;;
200201;1600;1,21916;;;
200201;1700;1,45305;;;
200201;1800;1,5975;;;
200201;1900;1,73785;;;
200201;2000;1,01193;;;
200201;2100;4,18951;;;
200201;2200;1,20278;;;
200201;2300;1,19147;;;
200202;0000;1,08964;;;
