FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200124;0900;;;7;
200124;1000;;;7;
200124;1100;;;4;
200124;1200;;;1;
200124;1300;;;1;
200124;1400;;;;
200124;1500;42;;;
200124;1600;32;;;
200124;1700;36;;;
200124;1800;23;;;
200124;1900;32;;;
200124;2000;38;;;
200124;2100;31;;;
200124;2200;31;;;
200124;2300;53;;;
200125;0000;27;;;
200125;0100;44;;;
200125;0200;41;;;
200125;0300;59;;;
200125;0400;44;;;
200125;0500;27;;;
200125;0600;25;;;
200125;0700;30;;;
200125;0800;22;;;
200125;0900;29;;;
200125;1000;26;;;
200125;1100;27;;;
200125;1200;30;;;
200125;1300;22;;;
200125;1400;38;;;
200125;1500;23;;;
200125;1600;28;;;
200125;1700;27;;;
200125;1800;19;;;
200125;1900;32;;;
200125;2000;65;;;
200125;2100;130;;;
200125;2200;39;;;
200125;2300;26;;;
200126;0000;28;;;
200126;0100;17;;;
200126;0200;14;;;
200126;0300;10;;;
200126;0400;16;;;
200126;0500;19;;;
200126;0600;28;;;
200126;0700;23;;;
200126;0800;13;;;
200126;0900;12;;;
200126;1000;12;;;
200126;1100;18;;;
200126;1200;14;;;
200126;1300;12;;;
200126;1400;14;;;
200126;1500;18;;;
200126;1600;16;;;
200126;1700;14;;;
200126;1800;14;;;
200126;1900;17;;;
200126;2000;24;;;
200126;2100;11;;;
200126;2200;14;;;
200126;2300;16;;;
200127;0000;11;;;
200127;0100;16;;;
200127;0200;13;;;
200127;0300;18;;;
200127;0400;14;;;
200127;0500;21;;;
200127;0600;24;;;
200127;0700;26;;;
200127;0800;22;;;
200127;0900;24;;;
200127;1000;26;;;
200127;1100;32;;;
200127;1200;21;;;
200127;1300;37;;;
200127;1400;22;;;
200127;1500;25;;;
200127;1600;37;;;
200127;1700;22;;;
200127;1800;21;;;
200127;1900;25;;;
200127;2000;33;;;
200127;2100;25;;;
200127;2200;35;;;
200127;2300;30;;;
200128;0000;47;;;
200128;0100;41;;;
200128;0200;45;;;
200128;0300;36;;;
200128;0400;36;;;
200128;0500;21;;;
200128;0600;30;;;
200128;0700;33;;;
200128;0800;16;;;
200128;0900;31;;;
200128;1000;23;;;
200128;1100;32;;;
200128;1200;26;;;
200128;1300;26;;;
200128;1400;24;;;
200128;1500;13;;;
200128;1600;;;;
200128;1700;;;;
200128;1800;;;;
200128;1900;30;;;
200128;2000;24;;;
200128;2100;15;;;
200128;2200;10;;;
200128;2300;10;;;
200129;0000;13;;;
200129;0100;19;;;
200129;0200;19;;;
200129;0300;22;;;
200129;0400;21;;;
200129;0500;22;;;
200129;0600;24;;;
200129;0700;33;;;
200129;0800;30;;;
200129;0900;34;;;
200129;1000;;;33;
200129;1100;33;;;
200129;1200;30;;;
200129;1300;31;;;
200129;1400;26;;;
200129;1500;28;;;
200129;1600;42;;;
200129;1700;30;;;
200129;1800;31;;;
200129;1900;25;;;
200129;2000;35;;;
200129;2100;22;;;
200129;2200;19;;;
200129;2300;27;;;
200130;0000;;;;
200130;0100;;;;
200130;0200;;;;
200130;0300;;;;
200130;0400;;;;
200130;0500;;;;
200130;0600;;;;
200130;0700;;;;
200130;0800;;;;
200130;0900;;;;
200130;1000;;;;
200130;1100;;;;
200130;1200;55;;;
200130;1300;45;;;
200130;1400;30;;;
200130;1500;22;;;
200130;1600;43;;;
200130;1700;31;;;
200130;1800;24;;;
200130;1900;23;;;
200130;2000;25;;;
200130;2100;20;;;
200130;2200;25;;;
200130;2300;25;;;
200131;0000;25;;;
200131;0100;28;;;
200131;0200;45;;;
200131;0300;40;;;
200131;0400;52;;;
200131;0500;43;;;
200131;0600;47;;;
200131;0700;39;;;
200131;0800;38;;;
200131;0900;40;;;
200131;1000;39;;;
200131;1100;35;;;
200131;1200;38;;;
200131;1300;23;;;
200131;1400;16;;;
200131;1500;27;;;
200131;1600;39;;;
200131;1700;23;;;
200131;1800;23;;;
200131;1900;26;;;
200131;2000;19;;;
200131;2100;28;;;
200131;2200;18;;;
200131;2300;21;;;
200201;0000;19;;;
200201;0100;42;;;
200201;0200;49;;;
200201;0300;32;;;
200201;0400;29;;;
200201;0500;27;;;
200201;0600;34;;;
200201;0700;50;;;
200201;0800;48;;;
200201;0900;27;;;
200201;1000;32;;;
200201;1100;39;;;
200201;1200;29;;;
200201;1300;34;;;
200201;1400;23;;;
200201;1500;18;;;
200201;1600;102;;;
200201;1700;22;;;
200201;1800;22;;;
200201;1900;13;;;
200201;2000;21;;;
200201;2100;16;;;
200201;2200;12;;;
200201;2300;8;;;
200202;0000;7;;;
200202;0100;5;;;
200202;0200;23;;;
200202;0300;14;;;
200202;0400;14;;;
200202;0500;8;;;
200202;0600;9;;;
200202;0700;13;;;
200202;0800;10;;;
200202;0900;16;;;
200202;1000;9;;;
200202;1100;14;;;
200202;1200;10;;;
200202;1300;29;;;
200202;1400;8;;;
200202;1500;10;;;
200202;1600;17;;;
200202;1700;8;;;
200202;1800;9;;;
200202;1900;13;;;
