FECHA (YYMMDD);HORA (HHMM);;
200131;2100;27,07;
200131;2200;26,2242;
200131;2300;25,0925;
200201;0000;23,2542;
200201;0100;21,2042;
200201;0200;20,1017;
200201;0300;19,0633;
200201;0400;18,0958;
200201;0500;17,1333;
200201;0600;17,06;
200201;0700;19,615;
200201;0800;22,165;
200201;0900;23,5958;
200201;1000;25,6542;
200201;1100;27,4258;
200201;1200;29,7842;
200201;1300;31,6883;
200201;1400;32,7383;
200201;1500;34,8467;
200201;1600;32,7842;
200201;1700;31,1203;
200201;1800;29,5125;
200201;1900;27,6127;
200201;2000;25,4208;
200201;2100;24,3683;
200201;2200;22,8825;
200201;2300;21,5425;
200202;0000;20,8642;
200202;0100;20,2217;
200202;0200;19,4225;
200202;0300;18,3492;
200202;0400;17,6258;
200202;0500;16,645;
200202;0600;16,0442;
200202;0700;16,7667;
200202;0800;18,2614;
200202;0900;20,0822;
200202;1000;22,7137;
200202;1100;25,3137;
200202;1200;27,7495;
200202;1300;30,057;
200202;1400;32,1198;
200202;1500;33,1338;
200202;1600;34,6717;
200202;1700;33,3642;
200202;1800;31,2517;
200202;1900;27,875;
200202;2000;25,3433;
200202;2100;22,465;
200202;2200;20,3242;
200202;2300;19,1975;
200203;0000;17,8583;
200203;0100;16,9067;
200203;0200;15,76;
200203;0300;14,7783;
200203;0400;13,9825;
200203;0500;13,4583;
200203;0600;13,555;
200203;0700;15,7592;
200203;0800;17,3892;
200203;0900;19,1674;
200203;1000;21,1838;
200203;1100;22,7497;
200203;1200;25,0355;
200203;1300;27,1046;
200203;1400;29,0828;
200203;1500;31,1085;
200203;1600;32,0933;
200203;1700;30,38;
200203;1800;27,9492;
200203;1900;24,4183;
200203;2000;21,7508;
200203;2100;20,425;
200203;2200;19,4283;
200203;2300;18,5433;
200204;0000;17,8217;
200204;0100;17,0717;
200204;0200;16,4785;
200204;0300;15,7775;
200204;0400;15,2783;
200204;0500;15,0408;
200204;0600;15,6592;
200204;0700;16,8183;
200204;0800;18,0608;
200204;0900;16,9592;
200204;1000;18,9892;
200204;1100;21,3688;
200204;1200;23,1837;
200204;1300;24,7053;
200204;1400;26,0627;
200204;1500;26,6025;
200204;1600;26,745;
200204;1700;26,6857;
200204;1800;26,0242;
200204;1900;23,7858;
200204;2000;21,4092;
200204;2100;20,0042;
200204;2200;18,4725;
200204;2300;17,0758;
200205;0000;16,2942;
