FECHA (YYMMDD);HORA (HHMM);;
200126;2000;41,5692;
200126;2100;39,46;
200126;2200;37,22;
200126;2300;38,5383;
200127;0000;39,265;
200127;0100;42,733;
200127;0200;44,8054;
200127;0300;46,7321;
200127;0400;53,9558;
200127;0500;61,1308;
200127;0600;63,5275;
200127;0700;59,2258;
200127;0800;53,7458;
200127;0900;48,8908;
200127;1000;42,995;
200127;1100;37,7175;
200127;1200;32,7075;
200127;1300;28,5324;
200127;1400;26,0313;
200127;1500;22,16;
200127;1600;19,565;
200127;1700;17,0558;
200127;1800;18,7692;
200127;1900;23,0567;
200127;2000;26,2942;
200127;2100;27,3683;
200127;2200;32,18;
200127;2300;36,485;
200128;0000;40,9833;
200128;0100;43,2517;
200128;0200;47,4933;
200128;0300;52,9225;
200128;0400;57,4283;
200128;0500;62,085;
200128;0600;64,2142;
200128;0700;61,1525;
200128;0800;58,5092;
200128;0900;55,1967;
200128;1000;50,15;
200128;1100;44,42;
200128;1200;43,1768;
200128;1300;41,0384;
200128;1400;38,0942;
200128;1500;34,8932;
200128;1600;36,3067;
200128;1700;38,2958;
200128;1800;43,4308;
200128;1900;50,3525;
200128;2000;52,8017;
200128;2100;53,3008;
200128;2200;53,6958;
200128;2300;52,42;
200129;0000;52,7033;
200129;0100;49,4163;
200129;0200;47,9078;
200129;0300;47,2361;
200129;0400;50,1625;
200129;0500;53,305;
200129;0600;55,94;
200129;0700;55,2525;
200129;0800;52,2267;
200129;0900;50,1233;
200129;1000;;
200129;1100;41,79;
200129;1200;38,8683;
200129;1300;36,2045;
200129;1400;34,0217;
200129;1500;32,0892;
200129;1600;31,5858;
200129;1700;32,8792;
200129;1800;33,08;
200129;1900;34,4975;
200129;2000;37,7742;
200129;2100;39,1892;
200129;2200;42,5458;
200129;2300;45,625;
200130;0000;44,94;
200130;0100;40,6008;
200130;0200;43,3292;
200130;0300;46,6725;
200130;0400;50,0383;
200130;0500;55,1692;
200130;0600;57,3217;
200130;0700;53,6325;
200130;0800;50,7558;
200130;0900;46,4942;
200130;1000;39,8658;
200130;1100;33,7833;
200130;1200;32,2842;
200130;1300;28,4258;
200130;1400;25,3183;
200130;1500;23,1583;
200130;1600;21,2883;
200130;1700;21,3833;
200130;1800;20,275;
200130;1900;22,68;
200130;2000;24,2225;
200130;2100;26,3625;
200130;2200;28,8667;
200130;2300;32,15;
200131;0000;36,6608;
200131;0100;43,3667;
200131;0200;51,8275;
200131;0300;54,2025;
200131;0400;58,305;
200131;0500;63,8092;
200131;0600;64,1309;
200131;0700;60,15;
200131;0800;56,5342;
200131;0900;51,3167;
200131;1000;43,7225;
200131;1100;37,56;
200131;1200;32,8942;
200131;1300;27,4075;
200131;1400;22,9133;
200131;1500;20,9781;
200131;1600;23,4008;
200131;1700;22,9158;
200131;1800;20,4508;
200131;1900;27,3925;
200131;2000;34,2617;
200131;2100;37,1233;
200131;2200;39,29;
200131;2300;42,5475;
200201;0000;48,785;
200201;0100;56,0383;
200201;0200;59,6983;
200201;0300;63,8842;
200201;0400;66,76;
200201;0500;69,6508;
200201;0600;70,4185;
200201;0700;61,3183;
200201;0800;53,9658;
200201;0900;51,6133;
200201;1000;47,3175;
200201;1100;44,4842;
200201;1200;39,6275;
200201;1300;34,6525;
200201;1400;32,26;
200201;1500;26,9992;
200201;1600;31,185;
200201;1700;32,8206;
200201;1800;37,0417;
200201;1900;39,2338;
200201;2000;45,925;
200201;2100;51,7025;
200201;2200;59,2483;
200201;2300;64,2325;
200202;0000;66,6742;
200202;0100;69,0717;
200202;0200;72,3525;
200202;0300;76,6984;
200202;0400;80,0284;
200202;0500;80,8;
200202;0600;76,6942;
200202;0700;65,5642;
200202;0800;59,6736;
200202;0900;55,2459;
200202;1000;50,2883;
200202;1100;45,0407;
200202;1200;39,6224;
200202;1300;35,6539;
200202;1400;31,8595;
200202;1500;29,9753;
200202;1600;18,115;
200202;1700;15,4617;
200202;1800;15,5425;
200202;1900;15,3175;
